site,survey,species,count
La Conchita,3,spotted_sandpiper,0
La Conchita,3,whimbrel,2
La Conchita,3,long_billed_curlew,2
La Conchita,3,marbled_godwit,0
La Conchita,3,black_turnstone,0
La Conchita,3,sanderling,0
La Conchita,3,western_sandpiper,0
La Conchita,3,least_sandpiper,0
La Conchita,3,dunlin,0
Oil Piers,1,black_bellied_plover,0
Oil Piers,1,snowy_plover,0
Oil Piers,1,semipalmated_plover,0
Oil Piers,1,killdeer,0
Oil Piers,1,greater_yellowlegs,0
Oil Piers,1,willet,0
Oil Piers,1,spotted_sandpiper,0
Oil Piers,1,whimbrel,1
Oil Piers,1,long_billed_curlew,5
Oil Piers,1,marbled_godwit,1
Oil Piers,1,black_turnstone,0
Oil Piers,1,sanderling,0
Oil Piers,1,western_sandpiper,0
Oil Piers,1,least_sandpiper,0
Oil Piers,1,dunlin,0
Oil Piers,2,black_bellied_plover,0
Oil Piers,2,snowy_plover,0
Oil Piers,2,semipalmated_plover,0
Oil Piers,2,killdeer,0
Oil Piers,2,greater_yellowlegs,0
Oil Piers,2,willet,26
Oil Piers,2,spotted_sandpiper,0
Oil Piers,2,whimbrel,0
Oil Piers,2,long_billed_curlew,6
Oil Piers,2,marbled_godwit,0
Oil Piers,2,black_turnstone,0
Oil Piers,2,sanderling,0
Oil Piers,2,western_sandpiper,0
Oil Piers,2,least_sandpiper,0
Oil Piers,2,dunlin,0
Oil Piers,3,black_bellied_plover,0
Oil Piers,3,snowy_plover,0
Oil Piers,3,semipalmated_plover,0
Oil Piers,3,killdeer,0
Oil Piers,3,greater_yellowlegs,0
Oil Piers,3,willet,31
Oil Piers,3,spotted_sandpiper,0
Oil Piers,3,whimbrel,0
Oil Piers,3,long_billed_curlew,3
Oil Piers,3,marbled_godwit,0
Oil Piers,3,black_turnstone,0
Oil Piers,3,sanderling,0
Oil Piers,3,western_sandpiper,0
Oil Piers,3,least_sandpiper,0
Oil Piers,3,dunlin,0
R Beach,1,black_bellied_plover,84
R Beach,1,snowy_plover,0
R Beach,1,semipalmated_plover,0
R Beach,1,killdeer,7
R Beach,1,greater_yellowlegs,0
R Beach,1,willet,0
R Beach,1,spotted_sandpiper,0
R Beach,1,whimbrel,0
R Beach,1,long_billed_curlew,0
R Beach,1,marbled_godwit,0
R Beach,1,black_turnstone,0
R Beach,1,sanderling,39
R Beach,1,western_sandpiper,0
R Beach,1,least_sandpiper,0
R Beach,1,dunlin,0
R Beach,2,black_bellied_plover,11
R Beach,2,snowy_plover,0
R Beach,2,semipalmated_plover,0
R Beach,2,killdeer,3
R Beach,2,greater_yellowlegs,0
R Beach,2,willet,0
R Beach,2,spotted_sandpiper,0
R Beach,2,whimbrel,0
R Beach,2,long_billed_curlew,0
R Beach,2,marbled_godwit,0
R Beach,2,black_turnstone,0
R Beach,2,sanderling,14
R Beach,2,western_sandpiper,0
R Beach,2,least_sandpiper,0
R Beach,2,dunlin,0
R Beach,3,black_bellied_plover,0
R Beach,3,snowy_plover,0
R Beach,3,semipalmated_plover,0
R Beach,3,killdeer,1
R Beach,3,greater_yellowlegs,0
R Beach,3,willet,1
R Beach,3,spotted_sandpiper,0
R Beach,3,whimbrel,0
R Beach,3,long_billed_curlew,0
R Beach,3,marbled_godwit,0
R Beach,3,black_turnstone,0
R Beach,3,sanderling,0
